datetime,uid,event
2015-07-13 00:01:02,2101,signup
2015-07-13 00:07:19,1772,signup
2015-07-13 00:14:18,2238,signup
2015-07-13 00:27:51,1583,signup
2015-07-13 00:32:20,1935,signup
2015-07-13 00:34:45,1760,signup
2015-07-13 00:40:50,2180,signup
2015-07-13 00:48:44,1509,signup
2015-07-13 00:56:26,1532,signup
2015-07-13 00:56:33,2327,signup
2015-07-13 01:03:28,1378,signup
2015-07-13 01:09:55,1990,signup
2015-07-13 01:23:31,2300,signup
2015-07-13 01:25:04,1698,signup
2015-07-13 01:37:50,1653,signup
2015-07-13 01:40:37,2229,signup
2015-07-13 01:41:21,1741,signup
2015-07-13 01:43:10,2360,signup
2015-07-13 01:45:41,2445,signup
2015-07-13 01:46:33,2182,signup
2015-07-13 02:01:42,1775,signup
2015-07-13 02:03:59,1813,signup
2015-07-13 02:10:43,2045,signup
2015-07-13 02:16:40,2271,signup
2015-07-13 02:30:36,1774,signup
2015-07-13 02:56:54,1420,signup
2015-07-13 03:11:56,2043,signup
2015-07-13 03:12:39,2233,signup
2015-07-13 03:18:56,1342,signup
2015-07-13 03:35:55,1564,signup
2015-07-13 03:40:14,2213,signup
2015-07-13 03:40:58,2006,signup
2015-07-13 03:50:03,1488,signup
2015-07-13 03:51:07,1787,signup
2015-07-13 04:05:21,1875,signup
2015-07-13 04:13:25,1405,signup
2015-07-13 04:21:11,1596,signup
2015-07-13 04:24:34,2200,signup
2015-07-13 04:30:37,2373,signup
2015-07-13 04:40:58,2124,signup
2015-07-13 04:43:13,1657,signup
2015-07-13 04:52:41,2284,signup
2015-07-13 05:18:52,2404,signup
2015-07-13 05:32:25,1513,signup
2015-07-13 05:33:29,2407,signup
2015-07-13 05:37:23,1722,signup
2015-07-13 05:41:48,1877,signup
2015-07-13 05:48:24,1348,signup
2015-07-13 05:49:59,1389,signup
2015-07-13 05:56:28,2065,signup
2015-07-13 06:22:27,2294,signup
2015-07-13 06:25:30,1664,signup
2015-07-13 06:36:31,1554,signup
2015-07-13 07:07:00,1756,signup
2015-07-13 07:18:16,1889,signup
2015-07-13 07:29:31,2108,signup
2015-07-13 07:32:49,1749,signup
2015-07-13 07:32:52,1536,signup
2015-07-13 07:51:56,1556,signup
2015-07-13 08:05:26,1792,signup
2015-07-13 08:09:07,1961,signup
2015-07-13 08:14:32,2364,signup
2015-07-13 08:15:34,1633,signup
2015-07-13 08:18:19,2176,signup
2015-07-13 08:49:48,1831,signup
2015-07-13 08:59:46,2123,signup
2015-07-13 09:06:00,1959,signup
2015-07-13 09:06:54,2018,signup
2015-07-13 09:16:57,1501,signup
2015-07-13 09:20:30,1485,signup
2015-07-13 09:23:40,1582,signup
2015-07-13 09:57:39,1687,signup
2015-07-13 10:13:07,1438,signup
2015-07-13 10:33:12,2381,signup
2015-07-13 10:49:29,1762,signup
2015-07-13 10:57:11,2227,signup
2015-07-13 11:15:10,2304,signup
2015-07-13 11:15:38,1885,signup
2015-07-13 11:34:45,2047,signup
2015-07-13 11:49:25,2075,signup
2015-07-13 11:52:46,1736,signup
2015-07-13 11:57:49,2306,signup
2015-07-13 11:58:48,2418,signup
2015-07-13 12:00:28,1677,signup
2015-07-13 12:09:14,1991,signup
2015-07-13 12:12:06,1517,signup
2015-07-13 12:18:40,1791,signup
2015-07-13 12:20:30,1747,signup
2015-07-13 12:20:53,2034,signup
2015-07-13 12:29:42,2434,signup
2015-07-13 12:31:51,1358,signup
2015-07-13 12:41:14,2264,signup
2015-07-13 12:44:01,2207,signup
2015-07-13 12:45:37,2081,signup
2015-07-13 12:52:35,1821,signup
2015-07-13 12:58:04,1373,signup
2015-07-13 12:59:02,1988,signup
2015-07-13 13:02:26,1651,signup
2015-07-13 13:13:55,2132,signup
2015-07-13 13:14:45,1575,signup
2015-07-13 13:22:17,1822,signup
2015-07-13 13:50:33,2353,signup
2015-07-13 13:54:13,1785,signup
2015-07-13 13:54:24,1465,signup
2015-07-13 14:18:57,2320,signup
2015-07-13 14:27:58,1611,signup
2015-07-13 14:39:56,2032,signup
2015-07-13 15:12:42,1906,signup
2015-07-13 15:16:47,1493,signup
2015-07-13 15:51:16,1864,signup
2015-07-13 16:00:27,2262,signup
2015-07-13 16:06:35,1483,signup
2015-07-13 16:08:44,1429,signup
2015-07-13 16:25:24,1977,signup
2015-07-13 16:32:52,2152,signup
2015-07-13 16:48:25,2121,signup
2015-07-13 17:16:39,2009,signup
2015-07-13 17:27:06,2217,signup
2015-07-13 17:27:19,2153,signup
2015-07-13 17:32:45,1920,signup
2015-07-13 17:47:37,1750,signup
2015-07-13 18:07:14,1945,signup
2015-07-13 18:32:06,2281,signup
2015-07-13 18:44:41,2447,signup
2015-07-13 18:44:55,2048,signup
2015-07-13 18:51:13,2350,signup
2015-07-13 19:05:41,2141,signup
2015-07-13 19:12:17,2405,signup
2015-07-13 19:15:01,2322,signup
2015-07-13 19:23:07,1606,signup
2015-07-13 19:23:23,1403,signup
2015-07-13 19:33:36,1793,signup
2015-07-13 19:52:30,1443,signup
2015-07-13 20:15:57,1495,signup
2015-07-13 20:30:10,2330,signup
2015-07-13 20:45:58,1551,signup
2015-07-13 21:08:03,2118,signup
2015-07-13 21:10:48,1533,signup
2015-07-13 21:17:04,1555,signup
2015-07-13 21:40:35,2269,signup
2015-07-13 21:46:53,1388,signup
2015-07-13 21:50:12,2167,signup
2015-07-13 22:02:54,1860,signup
2015-07-13 22:40:49,1530,signup
2015-07-13 23:12:09,2077,signup
2015-07-13 23:12:57,1699,signup
2015-07-13 23:15:47,1565,signup
2015-07-13 23:17:36,1406,signup
2015-07-13 23:25:59,1844,signup
2015-07-13 23:41:27,1733,signup
2015-07-13 23:45:36,1640,signup
